example_id                                                               | status | run_time        |
./spec/activerecord/friend_custom_model_spec.rb[1:1:2:1:1:2]             | passed | 0.02572 seconds |
./spec/activerecord/friend_custom_model_spec.rb[1:1:2:1:1:3]             | passed | 0.01891 seconds |
./spec/activerecord/friend_custom_model_spec.rb[1:1:2:1:1:4]             | passed | 0.01944 seconds |
./spec/activerecord/friend_custom_model_spec.rb[1:1:2:1:1:5]             | passed | 0.01733 seconds |
./spec/activerecord/friend_custom_model_spec.rb[1:1:2:1:1:6]             | passed | 0.02199 seconds |
./spec/activerecord/friend_custom_model_spec.rb[1:1:2:1:1:7]             | passed | 0.01056 seconds |
./spec/activerecord/friend_custom_model_spec.rb[1:1:2:1:1:8]             | passed | 0.01053 seconds |
./spec/activerecord/friend_custom_model_spec.rb[1:1:2:1:2:1]             | passed | 0.02839 seconds |
./spec/activerecord/friend_custom_model_spec.rb[1:1:2:1:2:2]             | passed | 0.03661 seconds |
./spec/activerecord/friend_custom_model_spec.rb[1:1:2:1:2:3]             | passed | 0.02808 seconds |
./spec/activerecord/friend_custom_model_spec.rb[1:1:2:1:2:4]             | passed | 0.03067 seconds |
./spec/activerecord/friend_custom_model_spec.rb[1:1:2:1:2:5]             | passed | 0.02821 seconds |
./spec/activerecord/friend_custom_model_spec.rb[1:1:2:1:2:6]             | passed | 0.02912 seconds |
./spec/activerecord/friend_custom_model_spec.rb[1:1:2:1:2:7]             | passed | 0.03291 seconds |
./spec/activerecord/friend_custom_model_spec.rb[1:1:2:1:2:8]             | passed | 0.02872 seconds |
./spec/activerecord/friend_custom_model_spec.rb[1:1:2:1:2:9]             | passed | 0.03037 seconds |
./spec/activerecord/friend_custom_model_spec.rb[1:1:2:1:2:10]            | passed | 0.03101 seconds |
./spec/activerecord/friend_custom_model_spec.rb[1:1:2:1:2:11]            | passed | 0.03309 seconds |
./spec/activerecord/friend_custom_model_spec.rb[1:1:2:1:2:12]            | passed | 0.02922 seconds |
./spec/activerecord/friend_custom_model_spec.rb[1:1:2:1:2:13]            | passed | 0.028 seconds   |
./spec/activerecord/friend_custom_model_spec.rb[1:1:2:1:2:14]            | passed | 0.02941 seconds |
./spec/activerecord/friend_custom_model_spec.rb[1:1:2:1:2:15]            | passed | 0.0368 seconds  |
./spec/activerecord/friend_custom_model_spec.rb[1:1:2:1:2:16]            | passed | 0.02908 seconds |
./spec/activerecord/friend_custom_model_spec.rb[1:1:2:1:2:17]            | passed | 0.0257 seconds  |
./spec/activerecord/friend_custom_model_spec.rb[1:1:2:1:2:18]            | passed | 0.02694 seconds |
./spec/activerecord/friend_custom_model_spec.rb[1:1:2:1:2:19]            | passed | 0.0326 seconds  |
./spec/activerecord/friend_custom_model_spec.rb[1:1:2:1:2:20]            | passed | 0.0325 seconds  |
./spec/activerecord/friend_custom_model_spec.rb[1:1:2:1:2:21]            | passed | 0.02991 seconds |
./spec/activerecord/friend_custom_model_spec.rb[1:1:2:1:2:22]            | passed | 0.03007 seconds |
./spec/activerecord/friend_custom_model_spec.rb[1:1:2:1:2:23]            | passed | 0.02743 seconds |
./spec/activerecord/friend_custom_model_spec.rb[1:1:2:1:2:24]            | passed | 0.02835 seconds |
./spec/activerecord/friend_custom_model_spec.rb[1:1:2:1:2:25]            | passed | 0.02682 seconds |
./spec/activerecord/friend_custom_model_spec.rb[1:1:2:1:2:26]            | passed | 0.02784 seconds |
./spec/activerecord/friend_custom_model_spec.rb[1:1:2:1:2:27]            | passed | 0.0302 seconds  |
./spec/activerecord/friend_custom_model_spec.rb[1:1:2:1:2:28]            | passed | 0.03305 seconds |
./spec/activerecord/friend_custom_model_spec.rb[1:1:2:1:3:1]             | passed | 0.05354 seconds |
./spec/activerecord/friend_custom_model_spec.rb[1:1:2:1:3:2]             | passed | 0.05145 seconds |
./spec/activerecord/friend_custom_model_spec.rb[1:1:2:1:3:3]             | passed | 0.04996 seconds |
./spec/activerecord/friend_custom_model_spec.rb[1:1:2:1:3:4]             | passed | 0.04622 seconds |
./spec/activerecord/friend_custom_model_spec.rb[1:1:2:1:4:1]             | passed | 0.05726 seconds |
./spec/activerecord/friend_custom_model_spec.rb[1:1:2:1:4:2]             | passed | 0.05769 seconds |
./spec/activerecord/friend_custom_model_spec.rb[1:1:2:1:4:3]             | passed | 0.06646 seconds |
./spec/activerecord/friend_custom_model_spec.rb[1:1:2:1:4:4]             | passed | 0.04981 seconds |
./spec/activerecord/friend_custom_model_spec.rb[1:1:2:1:4:5]             | passed | 0.06023 seconds |
./spec/activerecord/friend_custom_model_spec.rb[1:1:2:1:4:6]             | passed | 0.07342 seconds |
./spec/activerecord/friend_custom_model_spec.rb[1:1:2:1:4:7]             | passed | 0.06078 seconds |
./spec/activerecord/friend_custom_model_spec.rb[1:1:2:1:4:8]             | passed | 0.06249 seconds |
./spec/activerecord/friend_custom_model_spec.rb[1:1:2:1:4:9]             | passed | 0.05657 seconds |
./spec/activerecord/friend_custom_model_spec.rb[1:1:2:1:4:10]            | passed | 0.05635 seconds |
./spec/activerecord/friend_custom_model_spec.rb[1:1:2:1:5:1]             | passed | 0.06994 seconds |
./spec/activerecord/friend_custom_model_spec.rb[1:1:2:1:5:2]             | passed | 0.0537 seconds  |
./spec/activerecord/friend_custom_model_spec.rb[1:1:2:1:5:3]             | passed | 0.06109 seconds |
./spec/activerecord/friend_custom_model_spec.rb[1:1:2:1:5:4]             | passed | 0.07634 seconds |
./spec/activerecord/friend_custom_model_spec.rb[1:1:2:1:5:5]             | passed | 0.06061 seconds |
./spec/activerecord/friend_custom_model_spec.rb[1:1:2:1:5:6]             | passed | 0.05998 seconds |
./spec/activerecord/friend_custom_model_spec.rb[1:1:2:1:5:7]             | passed | 0.07003 seconds |
./spec/activerecord/friend_custom_model_spec.rb[1:1:2:1:5:8]             | passed | 0.06536 seconds |
./spec/activerecord/friend_custom_model_spec.rb[1:1:2:1:6:1]             | passed | 0.04692 seconds |
./spec/activerecord/friend_custom_model_spec.rb[1:1:2:1:6:2]             | passed | 0.04596 seconds |
./spec/activerecord/friend_spec.rb[1:1:1:1:1:1]                          | passed | 0.01395 seconds |
./spec/activerecord/friend_spec.rb[1:1:1:1:1:2]                          | passed | 0.02098 seconds |
./spec/activerecord/friend_spec.rb[1:1:1:1:1:3]                          | passed | 0.01315 seconds |
./spec/activerecord/friend_spec.rb[1:1:1:1:1:4]                          | passed | 0.0148 seconds  |
./spec/activerecord/friend_spec.rb[1:1:1:1:1:5]                          | passed | 0.01669 seconds |
